100 Mile House Seventh-day Adventist Church,British Columbia Conference
24-Seven Seventh-day Adventist Ministry Center,Washington Conference
2nd Generation Seventh-day Adventist Com,Illinois Conference
3 Angeles,Allegheny East Conference
3 Angels Ghanaian Company,Oklahoma Conference
Abacunguwe African Mission,South Central Conference
Abategereje Seventh-day Adventist Company,Southwest Region Conference
Abbotsford Seventh-day Adventist Church,British Columbia Conference
Abercorn Seventh-day Adventist Church,Quebec Conference
Aberdeen Adventist Church,Dakota Conference
Aberdeen Seventh-day Adventist Church,Chesapeake Conference
Aberdeen Seventh-day Adventist Spanish Church,Chesapeake Conference
Abilene Seventh-day Adventist Church,Texico Conference
Abundant Life Adventist Church,Upper Columbia Conference
Abundant Life Seventh-day Adventist Church,British Columbia Conference
Abundant Life Seventh-day Adventist Church,Oklahoma Conference
Abundant Life Seventh-day Adventist Church (Huntsville),South Central Conference
Abundant Life Seventh-day Adventist Company,Alberta Conference
Academy Seventh-day Adventist Church Plant,"New Jersey Conference of Seventh-day Adventists, Inc."
Acreage Seventh-day Adventist Church,Southeastern Conference
Acts Seventh-day Adventist Church,Minnesota Conference
Ada Seventh-day Adventist Church,Oklahoma Conference
Adair County Spanish Mission Group,Kentucky-Tennessee Conference
Adairsville - Hispanic Seventh-day Adventist Company,South Atlantic Conference
Adairsville Seventh-day Adventist Church,Georgia-Cumberland Conference
